,rescode,hhsize,age16m,age16f,under16
444,29221,4.0,1.0,2.0,1.0
445,29223,6.0,1.0,5.0,0.0
446,29220,11.0,3.0,3.0,5.0
447,29225,9.0,2.0,4.0,3.0
448,29218,4.0,1.0,2.0,1.0
449,30131,5.0,1.0,2.0,2.0
450,30135,4.0,2.0,1.0,1.0
451,30113,6.0,3.0,3.0,1.0
452,30139,11.0,2.0,5.0,4.0
453,30132,6.0,1.0,1.0,4.0
454,30117,5.0,0.0,4.0,1.0
455,30124,7.0,1.0,3.0,3.0
456,30110,3.0,1.0,1.0,1.0
457,30107,4.0,0.0,3.0,1.0
458,30136,4.0,1.0,1.0,2.0
459,30105,3.0,0.0,2.0,1.0
460,30109,4.0,1.0,1.0,2.0
461,30106,6.0,4.0,1.0,1.0
462,30114,2.0,0.0,2.0,0.0
463,30133,6.0,2.0,3.0,1.0
464,30142,4.0,1.0,1.0,2.0
465,30104,4.0,2.0,1.0,1.0
466,30116,6.0,1.0,3.0,2.0
467,30127,11.0,2.0,5.0,4.0
468,30141,4.0,1.0,1.0,2.0
469,30122,3.0,0.0,1.0,2.0
470,30112,3.0,0.0,2.0,1.0
471,30140,4.0,1.0,1.0,2.0
472,30119,8.0,4.0,2.0,2.0
473,30137,5.0,1.0,1.0,3.0
474,30134,4.0,1.0,2.0,1.0
475,30143,4.0,0.0,1.0,3.0
476,30138,5.0,1.0,1.0,3.0
477,30103,5.0,2.0,2.0,1.0
478,31127,6.0,3.0,1.0,2.0
479,31128,4.0,2.0,1.0,1.0
480,31118,8.0,3.0,3.0,2.0
481,31137,6.0,1.0,1.0,4.0
482,31140,3.0,1.0,1.0,1.0
483,31101,7.0,1.0,4.0,2.0
484,31109,4.0,1.0,1.0,2.0
485,31113,4.0,2.0,2.0,0.0
486,31111,6.0,2.0,2.0,2.0
487,31102,3.0,0.0,2.0,1.0
488,31117,4.0,2.0,1.0,1.0
489,31116,6.0,1.0,3.0,2.0
490,31123,4.0,1.0,2.0,1.0
491,31141,5.0,1.0,1.0,3.0
492,31132,4.0,2.0,1.0,1.0
493,31135,4.0,1.0,2.0,1.0
494,31131,6.0,1.0,1.0,4.0
495,31129,4.0,1.0,3.0,0.0
496,31126,4.0,1.0,1.0,2.0
497,31112,4.0,1.0,1.0,2.0
498,31110,3.0,1.0,1.0,1.0
499,31104,4.0,3.0,1.0,0.0
500,31122,8.0,3.0,2.0,3.0
501,31108,5.0,1.0,1.0,3.0
502,31106,3.0,0.0,1.0,2.0
503,31105,8.0,2.0,4.0,2.0
504,31139,6.0,2.0,2.0,2.0
505,31138,3.0,0.0,1.0,2.0
506,31133,6.0,2.0,2.0,2.0
507,31134,2.0,0.0,1.0,1.0
508,32302,4.0,3.0,1.0,0.0
509,32304,3.0,1.0,2.0,0.0
510,32401,4.0,1.0,2.0,1.0
511,32207,6.0,2.0,2.0,2.0
512,32407,6.0,2.0,2.0,2.0
513,32512,7.0,4.0,2.0,1.0
514,32308,4.0,2.0,2.0,0.0
515,32104,5.0,1.0,1.0,3.0
516,32501,5.0,1.0,3.0,1.0
517,32404,4.0,2.0,1.0,1.0
518,32305,4.0,1.0,3.0,0.0
519,32205,2.0,0.0,1.0,1.0
520,32206,2.0,0.0,1.0,1.0
521,32306,5.0,2.0,2.0,1.0
522,32208,3.0,0.0,1.0,2.0
523,32509,6.0,2.0,2.0,2.0
524,32508,6.0,1.0,1.0,4.0
525,32506,2.0,1.0,1.0,0.0
526,32204,3.0,0.0,1.0,2.0
527,32103,5.0,1.0,2.0,2.0
528,32201,6.0,1.0,1.0,4.0
529,32307,8.0,1.0,4.0,3.0
530,32510,4.0,1.0,1.0,2.0
531,32107,4.0,2.0,1.0,1.0
532,32511,3.0,1.0,1.0,1.0
533,32102,6.0,4.0,1.0,1.0
534,32106,6.0,1.0,1.0,4.0
535,32403,3.0,2.0,1.0,0.0
536,32405,1.0,0.0,1.0,0.0
537,32406,6.0,1.0,1.0,4.0
538,32507,4.0,2.0,1.0,1.0
539,32108,4.0,1.0,1.0,2.0
540,33202,6.0,1.0,1.0,4.0
541,33413,5.0,3.0,2.0,0.0
542,33304,4.0,1.0,2.0,1.0
543,33208,5.0,1.0,3.0,1.0
544,33201,3.0,1.0,1.0,1.0
545,33408,7.0,1.0,3.0,3.0
546,33306,5.0,1.0,1.0,3.0
547,33206,4.0,2.0,1.0,1.0
548,33105,4.0,1.0,2.0,1.0
549,33212,5.0,3.0,2.0,0.0
550,33410,4.0,2.0,2.0,0.0
551,33107,6.0,2.0,1.0,3.0
552,33210,4.0,1.0,2.0,1.0
553,33307,6.0,3.0,1.0,2.0
554,33211,4.0,1.0,2.0,1.0
555,33412,6.0,1.0,1.0,4.0
556,33101,6.0,1.0,1.0,4.0
557,33301,4.0,1.0,2.0,1.0
558,33213,7.0,1.0,4.0,2.0
559,33204,5.0,1.0,1.0,3.0
560,33106,3.0,1.0,1.0,1.0
561,33308,4.0,2.0,1.0,1.0
562,33411,9.0,1.0,5.0,3.0
563,33102,6.0,1.0,1.0,4.0
564,33305,5.0,1.0,4.0,0.0
565,33406,6.0,3.0,1.0,2.0
566,34107,5.0,1.0,1.0,3.0
567,34105,5.0,2.0,2.0,1.0
568,34104,6.0,3.0,1.0,2.0
569,34101,6.0,2.0,1.0,3.0
570,34116,4.0,1.0,1.0,2.0
571,34124,4.0,1.0,2.0,1.0
572,34134,5.0,2.0,2.0,1.0
573,34133,4.0,2.0,1.0,1.0
574,34130,4.0,1.0,1.0,2.0
575,34123,4.0,1.0,1.0,2.0
576,34122,5.0,1.0,1.0,3.0
577,34118,5.0,1.0,1.0,3.0
578,34117,6.0,3.0,1.0,2.0
579,34115,4.0,1.0,1.0,2.0
580,34108,7.0,3.0,2.0,2.0
